,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
3790,22,38400,MORTGAGE,4.0,DEBTCONSOLIDATION,A,10000,5.42,0,0.26,N,2
28585,27,70176,RENT,3.0,MEDICAL,A,9000,7.88,0,0.13,N,5
15448,24,135000,MORTGAGE,8.0,EDUCATION,A,12000,9.38,0,0.09,N,2
16980,25,54996,MORTGAGE,0.0,HOMEIMPROVEMENT,A,10000,8.94,0,0.18,N,4
5138,22,60000,RENT,3.0,DEBTCONSOLIDATION,B,9000,11.86,0,0.15,N,4
2810,22,34800,MORTGAGE,3.0,DEBTCONSOLIDATION,C,1500,13.49,0,0.04,Y,3
416,26,62004,RENT,9.0,DEBTCONSOLIDATION,A,24000,7.9,1,0.39,N,3
29146,37,55000,RENT,19.0,DEBTCONSOLIDATION,B,30000,9.91,1,0.55,N,15
12300,23,80000,MORTGAGE,1.0,EDUCATION,C,12000,13.48,0,0.15,Y,4
22230,30,53979,MORTGAGE,5.0,EDUCATION,B,25000,10.08,0,0.46,N,7
24811,31,89000,RENT,1.0,VENTURE,B,10000,10.99,0,0.11,N,9
12643,23,84000,MORTGAGE,4.0,DEBTCONSOLIDATION,A,7000,6.92,0,0.08,N,2
2369,21,32000,MORTGAGE,4.0,PERSONAL,B,2500,11.71,1,0.08,N,3
4518,23,70000,RENT,2.0,PERSONAL,C,4800,,0,0.07,N,2
15259,26,127000,MORTGAGE,10.0,EDUCATION,A,6000,5.42,0,0.05,N,3
23534,27,30000,RENT,4.0,PERSONAL,A,8650,8.94,0,0.29,N,6
26095,33,96000,MORTGAGE,5.0,MEDICAL,A,9000,7.49,0,0.09,N,7
30861,38,67870,MORTGAGE,6.0,DEBTCONSOLIDATION,B,5000,,0,0.07,N,15
19801,29,38400,RENT,4.0,VENTURE,B,3550,11.49,0,0.09,N,7
7521,21,24000,RENT,0.0,EDUCATION,B,6400,10.95,0,0.27,N,3
16105,25,78600,RENT,0.0,MEDICAL,C,8400,13.48,0,0.11,N,4
21626,27,40000,RENT,2.0,PERSONAL,B,6000,,0,0.15,N,9
31865,44,140787,MORTGAGE,3.0,MEDICAL,D,35000,16.49,1,0.21,Y,15
8194,25,21500,RENT,2.0,MEDICAL,C,7500,11.34,1,0.35,N,2
17282,26,65000,MORTGAGE,0.0,PERSONAL,A,4000,5.42,0,0.06,N,2
14471,25,108000,MORTGAGE,8.0,VENTURE,A,15000,6.62,0,0.14,N,2
22692,28,51000,OWN,2.0,DEBTCONSOLIDATION,E,20400,17.74,1,0.4,Y,5
13995,23,65000,RENT,2.0,DEBTCONSOLIDATION,B,14000,9.99,0,0.22,N,2
31467,39,40800,RENT,4.0,MEDICAL,D,14000,16.0,1,0.34,Y,17
9680,23,63150,MORTGAGE,7.0,MEDICAL,B,12000,9.91,0,0.19,N,2
26761,33,38016,RENT,10.0,EDUCATION,A,15000,6.17,1,0.39,N,9
6835,22,69500,RENT,6.0,DEBTCONSOLIDATION,B,6000,10.65,0,0.09,N,4
30156,43,48000,MORTGAGE,2.0,VENTURE,A,10400,5.99,0,0.22,N,17
10459,25,30000,RENT,9.0,MEDICAL,A,10000,7.51,1,0.33,N,2
10962,24,70000,MORTGAGE,2.0,PERSONAL,B,8950,11.89,0,0.13,N,3
20351,33,40000,MORTGAGE,12.0,PERSONAL,A,3200,5.42,0,0.08,N,8
18170,30,150000,RENT,3.0,PERSONAL,E,25000,17.56,0,0.17,N,5
3807,24,30000,RENT,1.0,EDUCATION,C,4000,11.34,0,0.13,N,3
19032,27,60000,RENT,2.0,HOMEIMPROVEMENT,B,2000,9.91,0,0.03,N,9
32283,45,64000,MORTGAGE,3.0,PERSONAL,A,6000,7.29,0,0.09,N,12
4800,21,42000,MORTGAGE,3.0,EDUCATION,B,13750,11.36,0,0.33,N,4
24951,31,78408,MORTGAGE,10.0,VENTURE,B,15000,12.18,0,0.19,N,8
12278,23,80000,MORTGAGE,8.0,EDUCATION,D,8000,15.58,0,0.1,N,4
25817,33,44000,RENT,3.0,HOMEIMPROVEMENT,B,2725,12.18,1,0.06,N,7
4179,24,40000,MORTGAGE,9.0,MEDICAL,B,2125,11.11,0,0.05,N,4
30559,37,59000,MORTGAGE,3.0,HOMEIMPROVEMENT,B,9000,10.25,0,0.15,N,13
23857,34,113000,RENT,6.0,EDUCATION,C,9600,,0,0.08,Y,9
21657,34,50000,OWN,0.0,VENTURE,A,16000,7.51,0,0.32,N,7
23927,30,67642,MORTGAGE,5.0,PERSONAL,B,17000,11.58,0,0.25,N,6
15357,25,130000,MORTGAGE,9.0,VENTURE,C,21000,13.16,0,0.16,N,3
6834,26,63400,RENT,2.0,PERSONAL,D,6000,15.21,1,0.09,Y,2
12789,25,85000,MORTGAGE,6.0,DEBTCONSOLIDATION,C,1500,13.06,0,0.02,N,2
18959,32,30000,OWN,2.0,EDUCATION,B,10000,9.91,0,0.33,N,8
23279,27,27000,RENT,1.0,DEBTCONSOLIDATION,A,5000,7.88,0,0.19,N,8
797,22,92000,RENT,6.0,VENTURE,F,20000,15.65,0,0.22,Y,2
22691,28,51000,RENT,13.0,VENTURE,D,7500,16.49,0,0.15,Y,7
3251,23,78000,RENT,1.0,VENTURE,B,3500,9.96,0,0.04,N,4
1853,23,30000,OWN,1.0,PERSONAL,A,5000,6.62,0,0.17,N,2
5808,22,46800,OWN,4.0,EDUCATION,A,11500,7.51,0,0.25,N,4
12287,23,80000,MORTGAGE,7.0,PERSONAL,A,4000,7.51,0,0.05,N,3
13895,24,98000,OWN,8.0,HOMEIMPROVEMENT,A,12000,6.03,0,0.12,N,3
29316,37,65000,RENT,4.0,HOMEIMPROVEMENT,F,20000,16.71,1,0.31,N,17
30963,36,72000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,13000,,0,0.18,N,13
4833,23,29000,RENT,1.0,MEDICAL,F,5000,,1,0.17,Y,3
25644,31,88000,MORTGAGE,10.0,DEBTCONSOLIDATION,B,7000,9.2,0,0.08,N,10
9348,25,61200,MORTGAGE,1.0,PERSONAL,A,5650,7.66,0,0.09,N,4
23559,32,64000,MORTGAGE,2.0,EDUCATION,A,8000,6.76,0,0.13,N,7
6270,25,48360,MORTGAGE,9.0,EDUCATION,A,6000,7.66,0,0.12,N,3
24309,34,55000,RENT,5.0,EDUCATION,A,4050,,0,0.07,N,9
28626,27,51298,RENT,11.0,VENTURE,B,1000,10.37,0,0.02,N,9
27288,29,61656,RENT,4.0,VENTURE,A,15000,6.91,0,0.24,N,10
31147,50,150000,RENT,0.0,HOMEIMPROVEMENT,B,11200,11.14,0,0.07,N,11
19881,35,65867,RENT,3.0,PERSONAL,A,11000,9.32,0,0.17,N,10
15785,24,172000,MORTGAGE,5.0,EDUCATION,B,15000,10.37,0,0.09,N,4
29656,36,35000,MORTGAGE,4.0,HOMEIMPROVEMENT,D,7500,16.29,0,0.21,N,16
24063,29,69996,MORTGAGE,11.0,EDUCATION,A,3400,6.39,0,0.05,N,6
9884,25,44000,RENT,9.0,MEDICAL,A,9000,7.29,0,0.2,N,3
19417,31,31800,RENT,6.0,DEBTCONSOLIDATION,D,3000,15.62,1,0.09,Y,9
15401,24,132996,MORTGAGE,3.0,VENTURE,B,5000,,0,0.04,N,3
15268,25,127741,MORTGAGE,9.0,DEBTCONSOLIDATION,A,12000,7.88,0,0.09,N,2
29898,39,40800,OWN,0.0,HOMEIMPROVEMENT,A,3500,8.59,0,0.09,N,14
30233,38,48000,RENT,7.0,MEDICAL,B,6000,,0,0.13,N,17
4284,25,138000,RENT,1.0,EDUCATION,C,4500,13.43,0,0.03,N,3
19701,35,19000,RENT,2.0,HOMEIMPROVEMENT,C,3300,13.85,1,0.17,N,6
11030,23,100000,RENT,4.0,VENTURE,B,4150,10.65,0,0.04,N,2
22217,29,53360,MORTGAGE,11.0,EDUCATION,A,10475,7.88,0,0.2,N,9
7337,21,45000,RENT,3.0,VENTURE,B,6500,10.74,0,0.14,N,2
4361,23,40000,MORTGAGE,7.0,EDUCATION,B,3500,12.21,0,0.09,N,3
22744,31,57758,MORTGAGE,,DEBTCONSOLIDATION,A,12000,6.62,0,0.21,N,9
3418,24,90000,RENT,2.0,EDUCATION,B,11000,11.14,0,0.12,N,3
12839,23,36000,RENT,0.0,PERSONAL,C,3000,,1,0.08,N,4
26209,30,98000,MORTGAGE,8.0,VENTURE,A,3500,7.68,0,0.04,N,10
1345,24,28000,RENT,8.0,MEDICAL,B,1000,12.53,0,0.04,N,4
14440,23,106921,MORTGAGE,6.0,MEDICAL,B,30000,9.99,0,0.28,N,3
10070,24,33600,RENT,2.0,PERSONAL,A,9450,7.66,1,0.28,N,2
8254,23,40000,RENT,7.0,VENTURE,B,7500,12.69,0,0.19,N,2
880,21,23000,OTHER,0.0,EDUCATION,B,2400,12.21,0,0.1,N,4
14143,24,100000,MORTGAGE,0.0,HOMEIMPROVEMENT,C,10000,12.87,0,0.1,Y,4
31760,45,140000,MORTGAGE,9.0,HOMEIMPROVEMENT,A,7500,6.62,0,0.05,N,15
18049,29,190000,MORTGAGE,3.0,EDUCATION,B,14000,,0,0.07,N,6
1248,24,39000,RENT,2.0,HOMEIMPROVEMENT,C,16000,13.06,1,0.41,N,2
31800,36,19200,OWN,0.0,HOMEIMPROVEMENT,C,4500,13.49,1,0.23,Y,14
1439,24,13000,RENT,1.0,MEDICAL,B,1200,11.89,0,0.09,N,2
31455,45,66000,RENT,4.0,HOMEIMPROVEMENT,B,13650,12.42,0,0.21,N,11
2548,25,30000,RENT,3.0,PERSONAL,C,3000,13.61,0,0.1,N,2
14992,26,120000,MORTGAGE,3.0,DEBTCONSOLIDATION,B,25000,,0,0.21,N,3
24355,27,72000,MORTGAGE,11.0,MEDICAL,C,9500,13.99,0,0.13,N,6
8423,23,57744,MORTGAGE,7.0,PERSONAL,B,2500,10.37,0,0.04,N,2
3820,23,38400,MORTGAGE,5.0,EDUCATION,A,10000,7.14,0,0.26,N,3
1476,23,36000,RENT,7.0,DEBTCONSOLIDATION,C,1200,13.99,0,0.03,Y,4
4090,24,40000,MORTGAGE,8.0,DEBTCONSOLIDATION,A,4500,6.62,0,0.11,N,3
5968,24,48000,RENT,7.0,MEDICAL,B,5600,11.14,0,0.12,N,3
895,22,15000,RENT,0.0,MEDICAL,D,1000,14.3,1,0.07,Y,3
13126,24,100000,RENT,5.0,HOMEIMPROVEMENT,A,12000,7.9,0,0.12,N,2
23920,28,67386,MORTGAGE,11.0,HOMEIMPROVEMENT,A,1500,6.91,0,0.02,N,6
13257,25,78000,MORTGAGE,8.0,DEBTCONSOLIDATION,D,6000,15.62,1,0.08,N,3
3896,23,40000,RENT,3.0,EDUCATION,C,4000,13.8,0,0.1,Y,3
31072,41,70800,RENT,25.0,VENTURE,B,10000,11.36,0,0.14,N,12
25651,35,100000,RENT,3.0,PERSONAL,A,12000,7.88,0,0.12,N,6
30684,42,62000,RENT,2.0,PERSONAL,B,8000,9.63,0,0.13,N,11
28471,30,50000,MORTGAGE,11.0,DEBTCONSOLIDATION,B,10000,,0,0.2,N,8
3289,22,30000,RENT,2.0,DEBTCONSOLIDATION,B,3600,10.99,0,0.12,N,3
32391,53,88000,RENT,0.0,EDUCATION,A,5000,8.49,0,0.06,N,25
19594,27,70000,RENT,3.0,EDUCATION,A,3000,7.68,0,0.04,N,10
15888,26,250000,MORTGAGE,10.0,EDUCATION,A,15000,7.49,0,0.06,N,2
30931,45,36000,RENT,1.0,VENTURE,C,4300,10.91,0,0.12,Y,17
19724,28,17004,RENT,4.0,HOMEIMPROVEMENT,A,3500,7.68,1,0.21,N,8
13117,22,96000,RENT,3.0,DEBTCONSOLIDATION,C,12000,13.61,0,0.13,Y,3
24793,29,75996,OWN,3.0,VENTURE,B,8000,10.74,0,0.11,N,10
23165,28,60000,OWN,5.0,MEDICAL,B,20000,,0,0.33,N,5
13868,26,97000,MORTGAGE,4.0,MEDICAL,C,6000,13.61,0,0.06,N,3
32321,52,54833,RENT,14.0,HOMEIMPROVEMENT,A,20000,7.49,1,0.36,N,25
26798,34,113500,OWN,4.0,HOMEIMPROVEMENT,A,3000,6.39,0,0.03,N,8
11326,23,73164,MORTGAGE,7.0,VENTURE,B,1000,10.36,0,0.01,N,2
24087,35,39000,RENT,2.0,MEDICAL,B,10000,10.25,0,0.26,N,5
18300,35,40000,RENT,3.0,VENTURE,F,21000,19.41,1,0.53,Y,10
10231,26,58000,RENT,10.0,EDUCATION,C,9600,13.99,0,0.17,Y,4
16177,25,16000,RENT,0.0,PERSONAL,A,3200,9.32,1,0.2,N,4
6027,25,48000,MORTGAGE,3.0,MEDICAL,C,1400,14.79,0,0.03,Y,4
6701,25,50000,OWN,3.0,MEDICAL,A,10000,,0,0.2,N,3
14232,24,102000,MORTGAGE,6.0,VENTURE,B,9800,10.36,0,0.1,N,2
8058,25,48000,RENT,6.0,DEBTCONSOLIDATION,B,7200,11.36,0,0.15,N,3
12334,25,80000,OWN,6.0,EDUCATION,B,25000,11.48,0,0.31,N,4
25825,35,90000,MORTGAGE,9.0,HOMEIMPROVEMENT,C,20000,12.53,0,0.22,N,5
5114,25,43800,MORTGAGE,0.0,EDUCATION,B,13000,10.38,0,0.3,N,4
16170,25,120000,RENT,1.0,HOMEIMPROVEMENT,A,12000,,0,0.1,N,3
9639,21,63000,MORTGAGE,5.0,VENTURE,E,4800,,0,0.08,Y,4
28945,29,72500,MORTGAGE,2.0,MEDICAL,C,7000,13.79,0,0.1,Y,8
15234,25,57000,RENT,0.0,EDUCATION,C,15000,13.85,0,0.26,N,4
24821,27,90000,RENT,4.0,HOMEIMPROVEMENT,A,10000,7.49,0,0.11,N,10
4101,21,19000,RENT,2.0,HOMEIMPROVEMENT,C,4200,,1,0.22,Y,2
13968,25,99473,MORTGAGE,9.0,PERSONAL,B,8500,11.58,0,0.09,N,2
23393,32,90000,RENT,0.0,PERSONAL,A,8000,7.88,0,0.09,N,5
5087,26,48996,RENT,5.0,EDUCATION,A,5000,7.88,0,0.1,N,3
15037,25,30000,RENT,8.0,PERSONAL,D,1600,16.29,0,0.05,N,3
31595,49,110000,MORTGAGE,11.0,HOMEIMPROVEMENT,A,3000,7.51,0,0.03,N,16
19288,34,42000,RENT,2.0,MEDICAL,B,2500,10.59,0,0.06,N,6
13425,23,91000,MORTGAGE,7.0,DEBTCONSOLIDATION,C,7500,11.97,0,0.08,Y,2
19810,27,25000,RENT,0.0,PERSONAL,C,3600,13.16,0,0.14,Y,9
25848,28,90700,MORTGAGE,11.0,HOMEIMPROVEMENT,A,20000,6.91,0,0.22,N,8
15456,26,137000,MORTGAGE,3.0,EDUCATION,A,21500,6.62,0,0.16,N,4
22343,30,54600,MORTGAGE,11.0,VENTURE,B,2500,9.99,0,0.05,N,7
19304,30,32000,MORTGAGE,4.0,HOMEIMPROVEMENT,C,6625,14.79,0,0.21,N,10
236,24,172000,MORTGAGE,6.0,DEBTCONSOLIDATION,C,20000,13.47,1,0.12,Y,4
29748,37,37000,MORTGAGE,7.0,EDUCATION,B,4000,10.59,0,0.11,N,12
19756,31,36000,MORTGAGE,2.0,HOMEIMPROVEMENT,A,4800,7.51,0,0.13,N,5
6326,26,29364,RENT,4.0,HOMEIMPROVEMENT,C,6000,13.35,1,0.2,Y,4
4692,26,36000,MORTGAGE,1.0,HOMEIMPROVEMENT,B,4500,10.59,1,0.13,N,2
8440,24,57996,MORTGAGE,5.0,HOMEIMPROVEMENT,B,2400,11.89,0,0.04,N,4
16732,22,37200,RENT,6.0,MEDICAL,B,10000,,1,0.27,N,3
18651,27,60000,RENT,11.0,MEDICAL,C,17000,,0,0.28,N,10
28438,31,238000,MORTGAGE,14.0,DEBTCONSOLIDATION,D,12000,14.09,1,0.05,Y,10
28863,31,77000,MORTGAGE,4.0,HOMEIMPROVEMENT,C,10000,14.65,0,0.13,N,6
20516,29,34999,MORTGAGE,8.0,DEBTCONSOLIDATION,D,6250,15.95,1,0.18,Y,9
942,25,24000,MORTGAGE,0.0,DEBTCONSOLIDATION,C,6000,13.49,0,0.25,Y,3
7290,22,52000,MORTGAGE,0.0,EDUCATION,A,10000,7.88,0,0.19,N,3
3339,24,40000,RENT,2.0,DEBTCONSOLIDATION,B,3600,11.12,0,0.09,N,3
4281,24,40000,MORTGAGE,3.0,VENTURE,B,10500,11.36,0,0.26,N,4
30543,39,30000,RENT,1.0,HOMEIMPROVEMENT,E,7675,16.0,1,0.26,Y,16
3008,22,42500,RENT,7.0,EDUCATION,A,3200,7.49,0,0.08,N,4
10067,23,65000,MORTGAGE,3.0,PERSONAL,A,8000,7.14,0,0.12,N,4
297,23,175000,MORTGAGE,3.0,EDUCATION,A,7200,8.38,0,0.04,N,3
4890,24,42252,MORTGAGE,3.0,PERSONAL,C,8000,12.84,0,0.19,N,2
15709,26,34000,RENT,3.0,VENTURE,C,15250,13.22,1,0.45,Y,2
5290,21,50500,RENT,0.0,MEDICAL,B,5000,10.37,0,0.1,N,3
25998,31,95000,MORTGAGE,5.0,VENTURE,B,18000,11.71,0,0.19,N,9
6161,24,24000,RENT,,MEDICAL,C,6000,12.99,0,0.25,Y,4
31379,46,48956,RENT,0.0,MEDICAL,B,2800,10.59,0,0.06,N,13
20914,33,88000,RENT,3.0,VENTURE,D,9000,14.54,0,0.1,N,9
6565,22,50000,MORTGAGE,6.0,VENTURE,B,7200,,0,0.14,N,3
26086,28,96000,MORTGAGE,12.0,PERSONAL,B,6000,12.69,0,0.06,N,10
17837,29,10000,OWN,0.0,PERSONAL,B,3250,11.12,1,0.33,N,9
15899,22,126500,RENT,1.0,DEBTCONSOLIDATION,C,19200,13.79,0,0.15,N,4
18244,30,18000,MORTGAGE,6.0,MEDICAL,B,2200,,1,0.12,N,6
2932,24,120390,RENT,8.0,HOMEIMPROVEMENT,A,3000,5.79,0,0.02,N,4
10501,24,68000,MORTGAGE,8.0,HOMEIMPROVEMENT,A,3600,7.74,0,0.05,N,4
7724,24,54400,MORTGAGE,8.0,HOMEIMPROVEMENT,A,3300,7.66,0,0.06,N,2
1232,24,42494,RENT,7.0,VENTURE,B,16000,11.71,1,0.38,N,3
18878,33,48000,RENT,2.0,VENTURE,B,1500,11.89,0,0.03,N,6
20970,30,50000,RENT,5.0,MEDICAL,B,5000,11.14,0,0.1,N,8
12618,25,84000,MORTGAGE,9.0,MEDICAL,C,20000,15.27,0,0.24,N,3
14520,24,33500,RENT,5.0,HOMEIMPROVEMENT,C,2000,13.8,1,0.06,N,2
10578,24,35000,RENT,8.0,DEBTCONSOLIDATION,C,10000,13.48,0,0.29,N,4
13606,25,94976,MORTGAGE,5.0,DEBTCONSOLIDATION,B,20000,10.74,0,0.21,N,3
3965,23,50000,RENT,1.0,MEDICAL,A,4000,5.42,0,0.08,N,2
9888,25,65000,MORTGAGE,3.0,EDUCATION,C,10000,12.99,0,0.15,N,2
17729,22,60000,RENT,0.0,VENTURE,A,5500,7.88,0,0.09,N,3
25902,29,92000,MORTGAGE,3.0,HOMEIMPROVEMENT,A,11200,,0,0.12,N,5
4418,25,35000,RENT,1.0,MEDICAL,C,4800,10.28,0,0.14,N,2
2805,24,34600,MORTGAGE,2.0,DEBTCONSOLIDATION,A,4000,5.42,0,0.12,N,2
27206,29,126000,MORTGAGE,5.0,VENTURE,D,7000,16.02,0,0.06,N,5
23129,31,50000,RENT,13.0,DEBTCONSOLIDATION,D,8000,14.09,1,0.16,Y,8
7740,24,48600,MORTGAGE,1.0,EDUCATION,D,8000,,1,0.16,N,4
26982,34,50000,RENT,0.0,HOMEIMPROVEMENT,C,15000,12.72,0,0.3,Y,9
7868,25,55000,MORTGAGE,9.0,VENTURE,A,6500,7.49,0,0.12,N,3
2899,23,35000,MORTGAGE,7.0,EDUCATION,A,2100,5.42,0,0.06,N,3
24257,28,40000,RENT,2.0,VENTURE,A,4200,7.51,0,0.1,N,5
4995,24,43200,RENT,3.0,EDUCATION,C,5000,14.17,0,0.12,Y,4
20360,34,40000,MORTGAGE,11.0,VENTURE,A,6000,7.29,0,0.15,N,7
16295,24,130000,MORTGAGE,3.0,DEBTCONSOLIDATION,B,25000,11.83,0,0.19,N,3
16291,24,40000,MORTGAGE,2.0,VENTURE,B,2500,9.99,0,0.06,N,3
24157,34,70000,MORTGAGE,14.0,PERSONAL,E,14000,16.4,0,0.2,N,6
19980,29,31100,MORTGAGE,9.0,DEBTCONSOLIDATION,E,3000,16.82,1,0.1,Y,5
12721,25,62500,RENT,2.0,VENTURE,D,12000,16.77,1,0.19,N,2
30844,44,67000,MORTGAGE,28.0,HOMEIMPROVEMENT,B,3000,,0,0.04,N,14
18358,27,54000,RENT,2.0,PERSONAL,D,20000,16.0,1,0.37,N,6
1858,24,109000,RENT,3.0,EDUCATION,B,15000,10.65,0,0.14,N,3
5301,24,24000,RENT,1.0,PERSONAL,A,8500,7.9,1,0.35,N,3
8280,25,57000,MORTGAGE,5.0,PERSONAL,A,13000,8.9,0,0.23,N,2
17064,22,46000,RENT,1.0,DEBTCONSOLIDATION,D,6200,,1,0.13,N,3
26470,32,103000,MORTGAGE,3.0,MEDICAL,A,6000,7.49,0,0.06,N,8
22340,29,54500,MORTGAGE,7.0,PERSONAL,D,4275,,0,0.08,N,5
31221,42,42000,RENT,0.0,PERSONAL,B,12000,10.37,0,0.29,N,11
31254,37,84000,MORTGAGE,21.0,VENTURE,C,24000,,0,0.29,Y,17
19595,35,35000,MORTGAGE,4.0,MEDICAL,C,5200,15.23,0,0.15,N,6
18445,29,22000,OWN,,PERSONAL,B,2400,10.75,0,0.11,N,7
18614,34,65000,RENT,0.0,EDUCATION,A,17900,7.9,0,0.28,N,8
24305,28,71007,MORTGAGE,4.0,EDUCATION,F,25000,18.62,0,0.35,N,7
32476,53,75000,MORTGAGE,4.0,PERSONAL,A,10000,8.94,0,0.13,N,19
16840,22,84600,MORTGAGE,4.0,VENTURE,A,6000,,0,0.07,N,4
20226,28,48000,RENT,7.0,MEDICAL,C,4000,14.35,0,0.08,N,8
2527,26,21000,RENT,3.0,PERSONAL,B,3000,10.59,0,0.14,N,2
24285,31,60000,RENT,4.0,HOMEIMPROVEMENT,A,4200,8.49,0,0.07,N,10
25496,27,85000,MORTGAGE,6.0,HOMEIMPROVEMENT,B,5500,11.36,0,0.06,N,9
11102,23,72000,OWN,,PERSONAL,A,15000,6.99,0,0.21,N,2
12633,24,28000,RENT,4.0,MEDICAL,B,3000,10.25,0,0.11,N,3
19234,27,30000,RENT,3.0,PERSONAL,A,13000,7.88,1,0.43,N,10
22033,29,70000,RENT,6.0,EDUCATION,A,7000,7.74,0,0.1,N,6
17310,24,120000,RENT,4.0,HOMEIMPROVEMENT,C,10000,13.61,0,0.08,N,2
22216,31,53329,MORTGAGE,6.0,HOMEIMPROVEMENT,A,8250,5.99,0,0.15,N,9
11066,23,48000,RENT,6.0,VENTURE,D,10000,15.62,0,0.21,Y,2
9357,24,55200,MORTGAGE,8.0,EDUCATION,C,9600,10.78,1,0.17,N,4
27788,28,200000,RENT,0.0,PERSONAL,C,16000,10.91,0,0.08,Y,9
11571,24,68000,RENT,3.0,PERSONAL,D,10000,16.02,0,0.15,Y,2
5062,24,48000,RENT,8.0,DEBTCONSOLIDATION,B,5000,9.99,0,0.1,N,4
12120,24,63000,RENT,3.0,VENTURE,C,11500,14.79,0,0.18,N,2
10584,26,69000,MORTGAGE,10.0,PERSONAL,C,5000,14.17,0,0.07,N,4
3672,24,13200,RENT,1.0,EDUCATION,A,4000,5.79,1,0.3,N,3
8082,23,50000,RENT,7.0,MEDICAL,D,7200,17.58,1,0.14,Y,2
8719,25,60000,MORTGAGE,4.0,VENTURE,A,14000,7.9,0,0.23,N,2
24444,28,72087,MORTGAGE,10.0,PERSONAL,C,16000,,0,0.22,N,6
10444,23,30000,RENT,7.0,EDUCATION,C,10000,13.99,1,0.33,N,2
31099,44,76000,MORTGAGE,3.0,HOMEIMPROVEMENT,C,3600,14.79,0,0.05,Y,12
23785,29,65004,MORTGAGE,7.0,EDUCATION,A,5000,6.17,0,0.08,N,7
29818,37,39480,OWN,4.0,VENTURE,A,8000,8.49,0,0.2,N,13
30748,40,63996,MORTGAGE,8.0,EDUCATION,B,12000,10.25,0,0.19,N,17
13234,21,82100,RENT,3.0,PERSONAL,A,12200,6.03,0,0.15,N,2
5513,21,64424,RENT,3.0,PERSONAL,A,5000,6.03,0,0.08,N,4
9533,23,120000,RENT,4.0,EDUCATION,D,8000,14.61,0,0.07,Y,4
21859,27,50000,MORTGAGE,3.0,DEBTCONSOLIDATION,C,10000,12.84,0,0.2,N,10
14267,24,103000,OWN,8.0,EDUCATION,D,24000,16.77,0,0.23,N,3
24410,28,72000,MORTGAGE,,MEDICAL,B,22000,10.25,0,0.31,N,6
2303,24,24000,RENT,1.0,MEDICAL,B,2500,10.74,0,0.1,N,3
32360,70,39996,RENT,,MEDICAL,C,3600,15.23,0,0.09,Y,19
18076,32,80000,RENT,2.0,VENTURE,B,25000,,1,0.31,N,8
32464,56,70000,MORTGAGE,7.0,PERSONAL,B,15000,10.38,0,0.21,N,20
422,24,60000,RENT,0.0,VENTURE,D,24000,14.96,1,0.4,N,4
8201,22,25200,RENT,7.0,MEDICAL,D,7500,14.96,1,0.3,N,3
19254,27,22708,RENT,6.0,VENTURE,D,2500,14.84,1,0.11,Y,8
28980,29,69996,RENT,0.0,VENTURE,B,2400,11.11,0,0.03,N,6
4173,23,18000,RENT,0.0,DEBTCONSOLIDATION,B,4500,12.21,1,0.25,N,3
677,24,55000,RENT,2.0,VENTURE,E,20000,18.64,1,0.36,N,2
17492,26,76800,MORTGAGE,2.0,VENTURE,A,12800,6.92,0,0.17,N,3
3477,26,36000,RENT,7.0,VENTURE,E,10750,16.0,0,0.3,Y,4
6853,23,50000,MORTGAGE,7.0,VENTURE,B,8600,11.26,0,0.17,N,3
23515,28,63600,MORTGAGE,12.0,DEBTCONSOLIDATION,A,3000,,0,0.05,N,7
30245,43,50000,MORTGAGE,12.0,HOMEIMPROVEMENT,B,5000,10.0,0,0.1,N,16
8860,24,60000,MORTGAGE,2.0,MEDICAL,B,12000,9.99,0,0.2,N,2
13485,26,92004,MORTGAGE,3.0,MEDICAL,C,24250,14.72,0,0.26,N,4
28857,32,29100,MORTGAGE,3.0,MEDICAL,D,10000,15.95,1,0.34,Y,9
22218,27,53400,MORTGAGE,8.0,PERSONAL,B,4000,9.99,0,0.07,N,6
8040,21,42000,RENT,6.0,EDUCATION,A,7200,5.42,0,0.17,N,4
31685,36,120000,OWN,21.0,PERSONAL,D,10000,13.3,0,0.08,Y,13
30683,40,62000,RENT,3.0,DEBTCONSOLIDATION,A,8000,8.49,0,0.13,N,15
26511,33,105000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,26375,9.91,0,0.25,N,9
21127,27,45000,MORTGAGE,8.0,DEBTCONSOLIDATION,A,16750,8.94,0,0.37,N,7
11696,23,75000,OWN,5.0,VENTURE,A,7600,8.59,0,0.1,N,4
15276,22,128000,MORTGAGE,6.0,VENTURE,A,21600,6.91,0,0.17,N,4
2544,23,30000,RENT,0.0,MEDICAL,A,3000,5.79,0,0.1,N,3
6162,26,48000,OWN,10.0,VENTURE,B,15000,11.12,0,0.31,N,3
26335,30,100000,MORTGAGE,13.0,PERSONAL,A,10000,6.17,0,0.1,N,9
23770,27,19498,RENT,3.0,HOMEIMPROVEMENT,A,9575,6.62,1,0.49,N,9
31678,40,120000,OWN,15.0,MEDICAL,B,20000,,0,0.17,N,11
6818,21,65004,RENT,5.0,PERSONAL,A,6000,7.68,0,0.09,N,3
20873,30,38000,MORTGAGE,5.0,EDUCATION,E,10000,17.99,1,0.26,N,6
